UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,SOUNDDISC,2016,10,3,A gathering of shadows / V. E. Schwab.,,"Schwab, Victoria","Magic Fiction, Quantum theory Fiction, Contests Fiction, London England Fiction, Fantasy fiction, Audiobooks","Macmillan Audio,",[2016]
Physical,Horizon,BOOK,2016,10,1,New beginnings / Victoria Schwab.,,"Schwab, Victoria","Guardian angels Juvenile fiction, Brothers and sisters Juvenile fiction, Cancer in children Juvenile fiction, Friendship Juvenile fiction, Guardian angels Fiction, Brothers and sisters Fiction, Cancer Fiction, Friendship Fiction","Scholastic Inc.,",2014.
Digital,OverDrive,EBOOK,2016,10,1,"Broken Ground: Spirit Animals: Fall of the Beasts Series, Book 2",,Victoria Schwab,"Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)",2016
Digital,OverDrive,EBOOK,2016,10,15,"A Gathering of Shadows--A Novel: Shades of Magic Series, Book 2",,V. E. Schwab,"Fantasy, Fiction, Historical Fiction",Macmillan Publishers,2016
Physical,Horizon,BOOK,2016,10,10,A gathering of shadows / V.E. Schwab.,,"Schwab, Victoria","Magic Fiction, Contests Fiction, Fantasy fiction, Science fiction","Tor,",2016.
Physical,Horizon,BOOK,2016,10,10,This savage song / Victoria Schwab.,,"Schwab, Victoria","Good and evil Juvenile fiction, Monsters Juvenile fiction, Good and evil Fiction, Love Fiction, Young adult fiction","Greenwillow Books, an imprint of HarperCollins Publishers,",[2016]
Physical,Horizon,BOOK,2016,10,1,The unbound : an Archived novel / Victoria Schwab.,,"Schwab, Victoria","Future life Juvenile fiction, Dead Juvenile fiction, Libraries Juvenile fiction, Young adult fiction, Paranormal fiction","Hyperion,",[2014]
Physical,Horizon,BOOK,2016,10,7,Vicious / V. E. Schwab.,,"Schwab, Victoria","Great powers Fiction, Ambition Fiction, Heroes Fiction, Occult fiction","Tor,",2013.
Digital,OverDrive,EBOOK,2016,10,25,"A Darker Shade of Magic: Darker Shade of Magic Series, Book 1",,V. E. Schwab,"Fantasy, Fiction, Historical Fiction",Macmillan Publishers,2015
Digital,OverDrive,EBOOK,2016,10,8,This Savage Song,,Victoria Schwab,"Fantasy, Suspense, Young Adult Fiction",HarperCollins Publishers Inc.,2016
